ÍNDICE MODELO,HIDDEN_LAYERS_STRUCTURE,r2Score,MSE,LEARNING_RATE_RBM,LEARNING_RATE,N_EPOCHS_RBM,N_ITER_BACKPROP,BATCH_SIZE,ACTIVATION_FUNCTION,DROPOUT_P,CONJUNTO DE TREINO
43,[45],0.9908561192559872,4.05592530147362,0.01,0.01,20,50,16,sigmoid,0.0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
44,[45],0.9905882671635028,4.174735696028635,0.01,0.01,20,100,16,sigmoid,0.0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
45,[45],0.9898522960754115,4.501188308536417,0.01,0.01,20,200,16,sigmoid,0.0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
46,[60],0.9879914063445183,5.326617899547179,0.01,0.01,5,10,16,sigmoid,0.0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
47,[60],0.9890396607520668,4.86164665889085,0.01,0.01,5,25,16,sigmoid,0.0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
48,[60],0.9906373481689095,4.152964973375547,0.01,0.01,5,50,16,sigmoid,0.0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
49,[60],0.9928016526484125,3.192950561086029,0.01,0.01,5,100,16,sigmoid,0.0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
50,[60],0.9923904270177947,3.3753567501572688,0.01,0.01,5,200,16,sigmoid,0.0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
51,[60],0.9871809159631517,5.686124824059352,0.01,0.01,10,10,16,sigmoid,0.0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
52,[60],0.9898866895329932,4.485932499901534,0.01,0.01,10,25,16,sigmoid,0.0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
53,[60],0.992172754527691,3.471909120508777,0.01,0.01,10,50,16,sigmoid,0.0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
54,[60],0.9920773731565032,3.5142171653663334,0.01,0.01,10,100,16,sigmoid,0.0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
55,[60],0.9905943453322947,4.172039619900771,0.01,0.01,10,200,16,sigmoid,0.0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
56,[60],0.9574671104279734,18.86619344559161,0.01,0.01,20,10,16,sigmoid,0.0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
57,[60],0.990651756906702,4.146573730334288,0.01,0.01,20,25,16,sigmoid,0.0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
58,[60],0.9899150949710971,4.473332780118373,0.01,0.01,20,50,16,sigmoid,0.0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
59,[60],0.990834345972087,4.065583215387768,0.01,0.01,20,100,16,sigmoid,0.0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
60,[60],0.9905505252792111,4.191476756822152,0.01,0.01,20,200,16,sigmoid,0.0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
61,"[5, 5]",0.9837839936338096,7.192888047293663,0.01,0.01,5,10,16,sigmoid,0.0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
62,"[5, 5]",0.9817423454383903,8.098496158809281,0.01,0.01,5,25,16,sigmoid,0.0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
63,"[5, 5]",0.9915697846296458,3.739366771584321,0.01,0.01,5,50,16,sigmoid,0.0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
64,"[5, 5]",0.9906445284562064,4.149780033661795,0.01,0.01,5,100,16,sigmoid,0.0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
65,"[5, 5]",0.9905224990241658,4.203908283449192,0.01,0.01,5,200,16,sigmoid,0.0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
66,"[5, 5]",0.966032561037885,15.066840761556344,0.01,0.01,10,10,16,sigmoid,0.0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
67,"[5, 5]",0.9822946184652576,7.85352597539356,0.01,0.01,10,25,16,sigmoid,0.0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
68,"[5, 5]",0.9869392712999553,5.793310463380597,0.01,0.01,10,50,16,sigmoid,0.0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
69,"[5, 5]",0.9896365781204312,4.596873711275243,0.01,0.01,10,100,16,sigmoid,0.0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
70,"[5, 5]",0.9901308048403779,4.37765096393039,0.01,0.01,10,200,16,sigmoid,0.0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
71,"[5, 5]",0.926930514393659,32.41122492006167,0.01,0.01,20,10,16,sigmoid,0.0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
72,"[5, 5]",0.9575708999741794,18.820155810339084,0.01,0.01,20,25,16,sigmoid,0.0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
73,"[5, 5]",0.9564731538548725,19.30707994950251,0.01,0.01,20,50,16,sigmoid,0.0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
74,"[5, 5]",0.957485897994999,18.85785989766101,0.01,0.01,20,100,16,sigmoid,0.0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
75,"[5, 5]",0.9898704833839962,4.493121015543445,0.01,0.01,20,200,16,sigmoid,0.0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
76,"[15, 15]",0.9887186403668629,5.004040762563983,0.01,0.01,5,10,16,sigmoid,0.0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
77,"[15, 15]",0.9933842326171882,2.934537213226449,0.01,0.01,5,25,16,sigmoid,0.0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
78,"[15, 15]",0.9856171810519941,6.379746292724538,0.01,0.01,5,50,16,sigmoid,0.0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
79,"[15, 15]",0.9919755206862899,3.5593955773033317,0.01,0.01,5,100,16,sigmoid,0.0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
80,"[15, 15]",0.9908666651191123,4.051247502815449,0.01,0.01,5,200,16,sigmoid,0.0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
81,"[15, 15]",0.9809414050944483,8.453767000250682,0.01,0.01,10,10,16,sigmoid,0.0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
82,"[15, 15]",0.9846376464535375,6.814235682161363,0.01,0.01,10,25,16,sigmoid,0.0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
83,"[15, 15]",0.9905627975418239,4.186033184029477,0.01,0.01,10,50,16,sigmoid,0.0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
84,"[15, 15]",0.993043026161799,3.0858851949185215,0.01,0.01,10,100,16,sigmoid,0.0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
85,"[15, 15]",0.9912282792707541,3.8908473370570085,0.01,0.01,10,200,16,sigmoid,0.0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
86,"[15, 15]",0.9596650834527501,17.89124477196792,0.01,0.01,20,10,16,sigmoid,0.0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
87,"[15, 15]",0.9543970496884722,20.227971598544535,0.01,0.01,20,25,16,sigmoid,0.0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
88,"[15, 15]",0.9713998720093826,12.686077825160005,0.01,0.01,20,50,16,sigmoid,0.0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
89,"[15, 15]",0.9881520215133118,5.255374283718495,0.01,0.01,20,100,16,sigmoid,0.0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
90,"[15, 15]",0.9838069077588484,7.18272409370466,0.01,0.01,20,200,16,sigmoid,0.0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
91,"[45, 45]",0.9894117696654776,4.696591361358154,0.01,0.01,5,10,16,sigmoid,0.0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
92,"[45, 45]",0.9902639827113913,4.318577632621538,0.01,0.01,5,25,16,sigmoid,0.0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
93,"[45, 45]",0.9905035858776438,4.212297534321597,0.01,0.01,5,50,16,sigmoid,0.0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
94,"[45, 45]",0.9847125238477435,6.7810225283406975,0.01,0.01,5,100,16,sigmoid,0.0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
95,"[45, 45]",0.9909285853980255,4.023781699952344,0.01,0.01,5,200,16,sigmoid,0.0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
96,"[45, 45]",0.9853477323080837,6.499264909433566,0.01,0.01,10,10,16,sigmoid,0.0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
97,"[45, 45]",0.9911218969061558,3.938035061425281,0.01,0.01,10,25,16,sigmoid,0.0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
98,"[45, 45]",0.9928040660106195,3.1918800728424195,0.01,0.01,10,50,16,sigmoid,0.0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
99,"[45, 45]",0.9924495246555682,3.3491429782355384,0.01,0.01,10,100,16,sigmoid,0.0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
100,"[45, 45]",0.990652661442528,4.146172507938123,0.01,0.01,10,200,16,sigmoid,0.0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
101,"[45, 45]",0.9883801245406828,5.154195269473072,0.01,0.01,20,10,16,sigmoid,0.0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
102,"[45, 45]",0.9865007323980782,5.987831922878904,0.01,0.01,20,25,16,sigmoid,0.0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
103,"[45, 45]",0.983085716967212,7.5026206519469225,0.01,0.01,20,50,16,sigmoid,0.0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
104,"[45, 45]",0.9730346701531651,11.96093503953135,0.01,0.01,20,100,16,sigmoid,0.0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
105,"[45, 45]",0.9902551298816346,4.322504457260364,0.01,0.01,20,200,16,sigmoid,0.0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
106,"[60, 60]",0.9785643228428264,9.508162646688884,0.01,0.01,5,10,16,sigmoid,0.0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
107,"[60, 60]",0.9938700127260356,2.719061105260274,0.01,0.01,5,25,16,sigmoid,0.0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
108,"[60, 60]",0.9896601003015213,4.586440043984501,0.01,0.01,5,50,16,sigmoid,0.0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
109,"[60, 60]",0.9871918372695608,5.681280491086285,0.01,0.01,5,100,16,sigmoid,0.0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
110,"[60, 60]",0.9920991138561516,3.5045737047565373,0.01,0.01,5,200,16,sigmoid,0.0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
111,"[60, 60]",0.9754208188973138,10.902517794664218,0.01,0.01,10,10,16,sigmoid,0.0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
112,"[60, 60]",0.9832534961404599,7.428199318938897,0.01,0.01,10,25,16,sigmoid,0.0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
113,"[60, 60]",0.9929333096177808,3.134551851815241,0.01,0.01,10,50,16,sigmoid,0.0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
114,"[60, 60]",0.9845494386130826,6.853361784295102,0.01,0.01,10,100,16,sigmoid,0.0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
