,0
344,-3.63561
345,-3.6339445
346,-3.6324964
347,-3.6312618
348,-3.6302176
349,-3.629363
350,-3.628676
351,-3.6281548
352,-3.627799
353,-3.6275616
354,-3.6274896
355,-3.6275377
356,-3.6277032
357,-3.627986
358,-3.6283922
359,-3.62889
360,-3.6294818
361,-3.6301484
362,-3.6309052
363,-3.6317601
364,-3.6326613
365,-3.6336374
366,-3.6346827
367,-3.6357527
368,-3.6368952
369,-3.638084
370,-3.6393223
371,-3.6405845
372,-3.6418958
373,-3.6432066
374,-3.644568
375,-3.6459513
376,-3.6473627
377,-3.6487708
378,-3.6501842
379,-3.651619
380,-3.653081
381,-3.654519
382,-3.65598
383,-3.657421
384,-3.658884
385,-3.660327
386,-3.6617699
387,-3.6632128
388,-3.6646314
389,-3.6660528
390,-3.667451
391,-3.668849
392,-3.6702003
393,-3.6715746
394,-3.672902
395,-3.674233
396,-3.675537
397,-3.6768193
398,-3.6780772
399,-3.6793108
400,-3.6805234
401,-3.681734
402,-3.6828976
403,-3.6840396
404,-3.6851773
405,-3.686273
406,-3.687364
407,-3.6884093
408,-3.6894302
409,-3.6904287
410,-3.6914
411,-3.6923728
412,-3.6932993
413,-3.6942024
414,-3.6950765
415,-3.6959314
416,-3.6967607
417,-3.6975656
418,-3.6983194
419,-3.6990786
420,-3.6998105
421,-3.7005181
422,-3.7012029
423,-3.7018857
424,-3.7025213
425,-3.703134
426,-3.7037177
427,-3.7043042
428,-3.7048435
429,-3.7053823
430,-3.7058954
431,-3.7063875
432,-3.7068515
433,-3.707316
434,-3.707756
435,-3.7081723
436,-3.7085648
437,-3.7089572
438,-3.7093234
439,-3.7096667
440,-3.7099857
441,-3.7103047
442,-3.7105985
443,-3.710894
444,-3.7111635
445,-3.7114334
446,-3.7116776
447,-3.7118998
448,-3.7121186
449,-3.7123156
450,-3.7125125
451,-3.7127094
452,-3.7128801
453,-3.713026
454,-3.7131991
455,-3.7133217
456,-3.7134671
457,-3.7135925
458,-3.7136908
459,-3.7138133
460,-3.713911
461,-3.7139835
462,-3.714056
463,-3.7141304
464,-3.7142048
465,-3.7142782
466,-3.714326
467,-3.7143779
468,-3.714426
469,-3.7144475
470,-3.7144766
471,-3.714498
472,-3.7145247
473,-3.7145486
474,-3.714572
475,-3.714572
476,-3.714572
477,-3.714572
478,-3.714572
479,-3.714572
480,-3.714572
481,-3.7145486
482,-3.7145486
483,-3.7145247
484,-3.714498
485,-3.714498
486,-3.7144766
487,-3.7144475
488,-3.714426
489,-3.7144012
490,-3.7143507
491,-3.714326
492,-3.714304
493,-3.7142782
494,-3.7142305
495,-3.7142048
496,-3.7141814
497,-3.7141304
498,-3.714107
499,-3.714056
500,-19.751648
501,-19.752121
502,-19.753254
503,-19.754496
504,-19.755192
505,-19.754667
506,-19.75228
507,-19.747425
508,-19.739569
509,-19.72823
510,-19.71301
511,-19.693567
512,-19.669563
513,-19.640844
514,-19.607145
515,-19.568422
516,-19.524536
517,-19.475502
518,-19.421305
519,-19.361845
520,-19.297472
521,-19.228058
522,-19.153946
523,-19.075432
524,-18.992262
525,-18.905373
526,-18.81437
527,-18.720121
528,-18.622679
529,-18.522572
530,-18.419865
531,-18.315405
532,-18.208994
533,-18.101532
534,-17.99309
535,-17.884317
536,-17.775253
537,-17.66655
538,-17.55855
539,-17.451221
540,-17.345198
541,-17.240412
542,-17.137468
543,-17.036253
544,-16.937334
545,-16.840548
546,-16.74643
547,-16.65441
548,-16.56534
549,-16.478987
550,-16.395067
551,-16.31441
552,-16.236338
553,-16.16091
554,-16.08854
555,-16.019255
556,-15.952347
557,-15.888196
558,-15.826809
559,-15.768189
560,-15.712332
561,-15.658868
562,-15.607787
563,-15.559077
564,-15.512721
565,-15.468703
566,-15.427002
567,-15.387247
568,-15.349761
569,-15.314189
570,-15.280157
571,-15.24834
572,-15.218366
573,-15.189885
574,-15.163217
575,-15.138004
576,-15.114232
577,-15.091892
578,-15.07096
579,-15.051428
580,-15.033284
581,-15.016184
582,-15.000451
583,-14.985742
584,-14.972054
585,-14.959377
586,-14.947701
587,-14.937024
588,-14.927014
589,-14.918312
590,-14.909948
591,-14.902562
592,-14.89583
593,-14.890064
594,-14.884628
595,-14.879834
596,-14.876001
597,-14.872493
598,-14.869625
599,-14.867077
600,-14.865166
601,-14.863576
602,-14.86262
603,-14.861984
604,-14.861668
605,-14.861984
606,-14.862304
607,-14.863258
608,-14.864214
609,-14.865806
610,-14.8673935
611,-14.86931
612,-14.871538
613,-14.873771
614,-14.876323
615,-14.879195
616,-14.882071
617,-14.885265
618,-14.888463
619,-14.891667
620,-14.89519
621,-14.898716
622,-14.902562
623,-14.906094
624,-14.909948
625,-14.913808
626,-14.917991
627,-14.921857
628,-14.926047
629,-14.929919
630,-14.934114
631,-14.938316
632,-14.942198
633,-14.946402
634,-14.950618
635,-14.954507
636,-14.958728
637,-14.962947
638,-14.966848
639,-14.970751
640,-14.974984
641,-14.978895
642,-14.982806
643,-14.986395
644,-14.990315
645,-14.994238
646,-14.997835
647,-15.001433
648,-15.005035
649,-15.00864
650,-15.011922
651,-15.015528
652,-15.018813
653,-15.022098
654,-15.025386
655,-15.028347
656,-15.031307
657,-15.03427
