,0
301,-3.776212
302,-3.75357
303,-3.7318687
304,-3.7110753
305,-3.6911778
306,-3.6721208
307,-3.6539168
308,-3.6365337
309,-3.6199152
310,-3.6040769
311,-3.5889626
312,-3.5745645
313,-3.5608523
314,-3.547796
315,-3.53539
316,-3.5236049
317,-3.5124311
318,-3.501817
319,-3.4917426
320,-3.4822195
321,-3.4732025
322,-3.4646862
323,-3.4566424
324,-3.4490702
325,-3.441923
326,-3.435196
327,-3.4288695
328,-3.4229362
329,-3.4173982
330,-3.412184
331,-3.4073398
332,-3.4028046
333,-3.3986075
334,-3.3946948
335,-3.3910825
336,-3.3877487
337,-3.3846753
338,-3.3818572
339,-3.3792732
340,-3.3769317
341,-3.374798
342,-3.3728845
343,-3.371165
344,-3.3696592
345,-3.3683083
346,-3.367132
347,-3.366129
348,-3.3652818
349,-3.36459
350,-3.364031
351,-3.363608
352,-3.363318
353,-3.3631248
354,-3.363068
355,-3.3631053
356,-3.36324
357,-3.3634708
358,-3.3637998
359,-3.3642044
360,-3.3646865
361,-3.3652234
362,-3.3658412
363,-3.3665342
364,-3.3672667
365,-3.3680577
366,-3.3689044
367,-3.369774
368,-3.3707023
369,-3.3716657
370,-3.372673
371,-3.373699
372,-3.374762
373,-3.3758252
374,-3.3769317
375,-3.3780541
376,-3.379198
377,-3.3803422
378,-3.381487
379,-3.3826551
380,-3.383838
381,-3.385006
382,-3.3861918
383,-3.3873613
384,-3.3885496
385,-3.3897202
386,-3.3908894
387,-3.3920593
388,-3.3932123
389,-3.3943644
390,-3.3954964
391,-3.3966334
392,-3.3977292
393,-3.3988442
394,-3.399922
395,-3.4009998
396,-3.4020596
397,-3.4030976
398,-3.4041197
399,-3.4051213
400,-3.4061053
401,-3.4070876
402,-3.4080324
403,-3.4089549
404,-3.409881
405,-3.4107668
406,-3.411655
407,-3.4125006
408,-3.4133298
409,-3.4141393
410,-3.4149263
411,-3.4157164
412,-3.4164662
413,-3.4171987
414,-3.4179118
415,-3.4186013
416,-3.419276
417,-3.4199278
418,-3.4205375
419,-3.4211543
420,-3.4217484
421,-3.422322
422,-3.4228766
423,-3.4234316
424,-3.423947
425,-3.424443
426,-3.4249208
427,-3.4253948
428,-3.4258308
429,-3.4262686
430,-3.4266858
431,-3.42708
432,-3.4274595
433,-3.4278374
434,-3.4281943
435,-3.42853
436,-3.4288504
437,-3.429168
438,-3.429465
439,-3.4297435
440,-3.430001
441,-3.4302611
442,-3.430499
443,-3.430736
444,-3.4309566
445,-3.431175
446,-3.431375
447,-3.4315531
448,-3.4317327
449,-3.4318917
450,-3.4320502
451,-3.43221
452,-3.4323478
453,-3.4324677
454,-3.4326086
455,-3.4327066
456,-3.4328275
457,-3.4329252
458,-3.4330056
459,-3.4331043
460,-3.4331849
461,-3.4332433
462,-3.433306
463,-3.4333615
464,-3.4334245
465,-3.4334831
466,-3.433525
467,-3.4335625
468,-3.4336023
469,-3.433622
470,-3.4336436
471,-3.433663
472,-3.4336832
473,-3.4337015
474,-3.433722
475,-3.433722
476,-3.433722
477,-3.433722
478,-3.433722
479,-3.433722
480,-3.433722
481,-3.4337015
482,-3.4337015
483,-3.4336832
484,-3.433663
485,-3.433663
486,-3.4336436
487,-3.433622
488,-3.4336023
489,-3.4335835
490,-3.4335413
491,-3.433525
492,-3.4335048
493,-3.4334831
494,-3.4334435
495,-3.4334245
496,-3.4334047
497,-3.4333615
498,-3.433343
499,-3.433306
500,-18.19944
501,-18.198538
502,-18.19592
503,-18.19154
504,-18.185236
505,-18.176794
506,-18.16599
507,-18.152618
508,-18.13652
509,-18.11754
510,-18.095592
511,-18.07064
512,-18.042603
513,-18.011585
514,-17.977564
515,-17.940687
516,-17.90102
517,-17.858738
518,-17.813967
519,-17.76676
520,-17.7175
521,-17.66619
522,-17.61316
523,-17.55867
524,-17.502602
525,-17.445618
526,-17.387463
527,-17.328701
528,-17.269352
529,-17.209719
530,-17.14979
531,-17.09003
532,-17.030264
533,-16.970945
534,-16.912043
535,-16.85385
536,-16.79631
537,-16.739697
538,-16.684114
539,-16.629475
540,-16.576042
541,-16.523708
542,-16.472715
543,-16.422947
544,-16.374632
545,-16.32764
546,-16.282177
547,-16.237932
548,-16.195278
549,-16.154068
550,-16.114132
551,-16.075846
552,-16.038864
553,-16.003193
554,-15.969011
555,-15.936317
556,-15.904766
557,-15.874529
558,-15.8456
559,-15.817976
560,-15.791649
561,-15.766438
562,-15.74234
563,-15.719348
564,-15.697452
565,-15.676644
566,-15.656914
567,-15.638085
568,-15.620318
569,-15.603438
570,-15.5872755
571,-15.572148
572,-15.557887
573,-15.544317
574,-15.531598
575,-15.519561
576,-15.5082035
577,-15.497517
578,-15.487499
579,-15.478141
580,-15.469439
581,-15.461234
582,-15.453676
583,-15.4466095
584,-15.440022
585,-15.43392
586,-15.428297
587,-15.423151
588,-15.418324
589,-15.414125
590,-15.4100895
591,-15.406523
592,-15.403271
593,-15.400483
594,-15.397859
595,-15.395538
596,-15.393686
597,-15.391991
598,-15.3906
599,-15.389368
600,-15.388442
601,-15.387674
602,-15.38721
603,-15.386904
604,-15.386749
605,-15.386904
606,-15.38706
607,-15.38752
608,-15.387981
609,-15.388752
610,-15.389523
611,-15.390448
612,-15.391527
613,-15.392604
614,-15.393841
615,-15.395231
616,-15.396623
617,-15.398165
618,-15.399714
619,-15.4012575
620,-15.402962
621,-15.404666
622,-15.406523
623,-15.408227
624,-15.4100895
625,-15.411953
626,-15.413971
627,-15.415836
628,-15.417859
629,-15.419727
630,-15.421748
631,-15.423776
632,-15.425644
633,-15.427671
634,-15.429698
635,-15.431576
636,-15.433606
637,-15.435638
638,-15.437517
639,-15.439396
640,-15.441431
641,-15.443314
642,-15.445192
643,-15.446919
644,-15.448805
645,-15.45069
646,-15.452423
647,-15.454148
648,-15.45588
649,-15.457612
650,-15.459185
651,-15.460918
652,-15.462494
653,-15.464072
654,-15.465651
655,-15.467072
656,-15.468492
657,-15.4699135
658,-15.471337
659,-15.47276
660,-15.474023
661,-15.4754505
662,-15.476715
663,-15.477825
664,-15.479093
665,-15.4802
666,-15.481309
667,-15.482423
668,-15.483533
669,-15.484642
670,-15.485593
671,-15.4865465
672,-15.487499
673,-15.488454
