time;PID;CN;Vel. Desejada;A;A²;MSE;%
3,84;1,0007;1,0163;1;-0,0156;0,00024336;;
3,86;1,0006;1,0163;1;-0,0157;0,00024649;;
3,88;1,0005;1,0164;1;-0,0159;0,00025281;;
3,9;1,0004;1,0164;1;-0,016;0,000256;;
3,92;1,0003;1,0165;1;-0,0162;0,00026244;;
3,94;1,0002;1,0165;1;-0,0163;0,00026569;;
3,96;1,0001;1,0165;1;-0,0164;0,00026896;;
3,98;1;1,0166;1;-0,0166;0,00027556;;
4;0,99995;1,0166;1;-0,01665;0,000277222;;
4,02;0,99988;1,0167;1;-0,01682;0,000282912;;
4,04;0,99981;1,0167;1;-0,01689;0,000285272;;
4,06;0,99975;1,0167;1;-0,01695;0,000287302;;
4,08;0,99969;1,0168;1;-0,01711;0,000292752;;
4,1;0,99963;1,0168;1;-0,01717;0,000294809;;
4,12;0,99958;1,0169;1;-0,01732;0,000299982;;
4,14;0,99953;1,0169;1;-0,01737;0,000301717;;
4,16;0,99948;1,0169;1;-0,01742;0,000303456;;
4,18;0,99944;1,017;1;-0,01756;0,000308354;;
4,2;0,9994;1,017;1;-0,0176;0,00030976;;
4,22;0,99937;1,017;1;-0,01763;0,000310817;;
4,24;0,99933;1,017;1;-0,01767;0,000312229;;
4,26;0,9993;1,0171;1;-0,0178;0,00031684;;
4,28;0,99928;1,0171;1;-0,01782;0,000317552;;
4,3;0,99925;1,0171;1;-0,01785;0,000318622;;
4,32;0,99923;1,0172;1;-0,01797;0,000322921;;
4,34;0,99921;1,0172;1;-0,01799;0,00032364;;
4,36;0,9992;1,0172;1;-0,018;0,000324;;
4,38;0,99918;1,0172;1;-0,01802;0,00032472;;
4,4;0,99917;1,0173;1;-0,01813;0,000328697;;
4,42;0,99916;1,0173;1;-0,01814;0,00032906;;
4,44;0,99915;1,0173;1;-0,01815;0,000329423;;
4,46;0,99914;1,0173;1;-0,01816;0,000329786;;
4,48;0,99914;1,0173;1;-0,01816;0,000329786;;
4,5;0,99913;1,0174;1;-0,01827;0,000333793;;
4,52;0,99913;1,0174;1;-0,01827;0,000333793;;
4,54;0,99913;1,0174;1;-0,01827;0,000333793;;
4,56;0,99913;1,0174;1;-0,01827;0,000333793;;
4,58;0,99913;1,0174;1;-0,01827;0,000333793;;
4,6;0,99913;1,0174;1;-0,01827;0,000333793;;
4,62;0,99914;1,0175;1;-0,01836;0,00033709;;
4,64;0,99914;1,0175;1;-0,01836;0,00033709;;
4,66;0,99915;1,0175;1;-0,01835;0,000336723;;
4,68;0,99916;1,0175;1;-0,01834;0,000336356;;
4,7;0,99917;1,0175;1;-0,01833;0,000335989;;
4,72;0,99917;1,0175;1;-0,01833;0,000335989;;
4,74;0,99918;1,0175;1;-0,01832;0,000335622;;
4,76;0,99919;1,0176;1;-0,01841;0,000338928;;
4,78;0,9992;1,0176;1;-0,0184;0,00033856;;
4,8;0,99922;1,0176;1;-0,01838;0,000337824;;
4,82;0,99923;1,0176;1;-0,01837;0,000337457;;
4,84;0,99924;1,0176;1;-0,01836;0,00033709;;
4,86;0,99925;1,0176;1;-0,01835;0,000336723;;
4,88;0,99927;1,0176;1;-0,01833;0,000335989;;
4,9;0,99928;1,0176;1;-0,01832;0,000335622;;
4,92;0,99929;1,0176;1;-0,01831;0,000335256;;
4,94;0,99931;1,0176;1;-0,01829;0,000334524;;
4,96;0,99932;1,0176;1;-0,01828;0,000334158;;
4,98;0,99934;1,0177;1;-0,01836;0,00033709;;
5;0,99935;1,0177;1;-0,01835;0,000336723;;
5,02;0,99937;1,0177;1;-0,01833;0,000335989;;
5,04;0,99938;1,0177;1;-0,01832;0,000335622;;
5,06;0,9994;1,0177;1;-0,0183;0,00033489;;
5,08;0,99941;1,0177;1;-0,01829;0,000334524;;
5,1;0,99943;1,0177;1;-0,01827;0,000333793;;
5,12;0,99944;1,0177;1;-0,01826;0,000333428;;
5,14;0,99946;1,0177;1;-0,01824;0,000332698;;
5,16;0,99947;1,0177;1;-0,01823;0,000332333;;
5,18;0,99949;1,0177;1;-0,01821;0,000331604;;
5,2;0,9995;1,0177;1;-0,0182;0,00033124;;
5,22;0,99952;1,0177;1;-0,01818;0,000330512;;
5,24;0,99953;1,0177;1;-0,01817;0,000330149;;
5,26;0,99954;1,0177;1;-0,01816;0,000329786;;
5,28;0,99956;1,0177;1;-0,01814;0,00032906;;
5,3;0,99957;1,0177;1;-0,01813;0,000328697;;
5,32;0,99959;1,0177;1;-0,01811;0,000327972;;
5,34;0,9996;1,0177;1;-0,0181;0,00032761;;
5,36;0,99961;1,0177;1;-0,01809;0,000327248;;
5,38;0,99963;1,0177;1;-0,01807;0,000326525;;
5,4;0,99964;1,0177;1;-0,01806;0,000326164;;
5,42;0,99965;1,0177;1;-0,01805;0,000325803;;
5,44;0,99967;1,0177;1;-0,01803;0,000325081;;
5,46;0,99968;1,0177;1;-0,01802;0,00032472;;
5,48;0,99969;1,0177;1;-0,01801;0,00032436;;
5,5;0,9997;1,0177;1;-0,018;0,000324;;
5,52;0,99971;1,0177;1;-0,01799;0,00032364;;
5,54;0,99972;1,0177;1;-0,01798;0,00032328;;
5,56;0,99974;1,0177;1;-0,01796;0,000322562;;
5,58;0,99975;1,0177;1;-0,01795;0,000322203;;
5,6;0,99976;1,0177;1;-0,01794;0,000321844;;
5,62;0,99977;1,0178;1;-0,01803;0,000325081;;
5,64;0,99978;1,0178;1;-0,01802;0,00032472;;
5,66;0,99979;1,0178;1;-0,01801;0,00032436;;
5,68;0,9998;1,0178;1;-0,018;0,000324;;
5,7;0,99981;1,0178;1;-0,01799;0,00032364;;
5,72;0,99982;1,0178;1;-0,01798;0,00032328;;
5,74;0,99983;1,0178;1;-0,01797;0,000322921;;
5,76;0,99983;1,0178;1;-0,01797;0,000322921;;
5,78;0,99984;1,0178;1;-0,01796;0,000322562;;
5,8;0,99985;1,0178;1;-0,01795;0,000322203;;
5,82;0,99986;1,0178;1;-0,01794;0,000321844;;
5,84;0,99987;1,0178;1;-0,01793;0,000321485;;
5,86;0,99987;1,0178;1;-0,01793;0,000321485;;
5,88;0,99988;1,0178;1;-0,01792;0,000321126;;
5,9;0,99989;1,0178;1;-0,01791;0,000320768;;
5,92;0,99989;1,0178;1;-0,01791;0,000320768;;
5,94;0,9999;1,0178;1;-0,0179;0,00032041;;
5,96;0,99991;1,0178;1;-0,01789;0,000320052;;
5,98;0,99991;1,0178;1;-0,01789;0,000320052;;
6;0,99992;1,0178;1;-0,01788;0,000319694;;
6,02;0,99992;1,0178;1;-0,01788;0,000319694;;
6,04;0,99993;1,0177;1;-0,01777;0,000315773;;
6,06;0,99993;1,0177;1;-0,01777;0,000315773;;
6,08;0,99994;1,0177;1;-0,01776;0,000315418;;
6,1;0,99994;1,0177;1;-0,01776;0,000315418;;
6,12;0,99995;1,0177;1;-0,01775;0,000315063;;
6,14;0,99995;1,0177;1;-0,01775;0,000315063;;
6,16;0,99996;1,0177;1;-0,01774;0,000314708;;
6,18;0,99996;1,0177;1;-0,01774;0,000314708;;
6,2;0,99997;1,0177;1;-0,01773;0,000314353;;
6,22;0,99997;1,0177;1;-0,01773;0,000314353;;
6,24;0,99997;1,0177;1;-0,01773;0,000314353;;
6,26;0,99998;1,0177;1;-0,01772;0,000313998;;
6,28;0,99998;1,0177;1;-0,01772;0,000313998;;
6,3;0,99998;1,0177;1;-0,01772;0,000313998;;
6,32;0,99998;1,0177;1;-0,01772;0,000313998;;
6,34;0,99999;1,0177;1;-0,01771;0,000313644;;
6,36;0,99999;1,0177;1;-0,01771;0,000313644;;
6,38;0,99999;1,0177;1;-0,01771;0,000313644;;
6,4;1;1,0177;1;-0,0177;0,00031329;;
6,42;1;1,0177;1;-0,0177;0,00031329;;
6,44;1;1,0177;1;-0,0177;0,00031329;;
6,46;1;1,0177;1;-0,0177;0,00031329;;
6,48;1;1,0177;1;-0,0177;0,00031329;;
6,5;1;1,0177;1;-0,0177;0,00031329;;
6,52;1;1,0177;1;-0,0177;0,00031329;;
6,54;1;1,0177;1;-0,0177;0,00031329;;
6,56;1;1,0177;1;-0,0177;0,00031329;;
6,58;1;1,0177;1;-0,0177;0,00031329;;
6,6;1;1,0177;1;-0,0177;0,00031329;;
6,62;1;1,0177;1;-0,0177;0,00031329;;
6,64;1;1,0177;1;-0,0177;0,00031329;;
6,66;1;1,0177;1;-0,0177;0,00031329;;
6,68;1;1,0177;1;-0,0177;0,00031329;;
6,7;1;1,0177;1;-0,0177;0,00031329;;
6,72;1;1,0177;1;-0,0177;0,00031329;;
6,74;1;1,0177;1;-0,0177;0,00031329;;
6,76;1;1,0177;1;-0,0177;0,00031329;;
6,78;1;1,0177;1;-0,0177;0,00031329;;
6,8;1;1,0177;1;-0,0177;0,00031329;;
6,82;1;1,0177;1;-0,0177;0,00031329;;
6,84;1;1,0177;1;-0,0177;0,00031329;;
6,86;1;1,0177;1;-0,0177;0,00031329;;
6,88;1;1,0177;1;-0,0177;0,00031329;;
6,9;1;1,0177;1;-0,0177;0,00031329;;
6,92;1;1,0177;1;-0,0177;0,00031329;;
6,94;1;1,0177;1;-0,0177;0,00031329;;
6,96;1;1,0177;1;-0,0177;0,00031329;;
6,98;1;1,0177;1;-0,0177;0,00031329;;
7;1;1,0177;1;-0,0177;0,00031329;;
7,02;1;1,0177;1;-0,0177;0,00031329;;
7,04;1;1,0177;1;-0,0177;0,00031329;;
7,06;1;1,0177;1;-0,0177;0,00031329;;
7,08;1;1,0177;1;-0,0177;0,00031329;;
7,1;1;1,0177;1;-0,0177;0,00031329;;
7,12;1;1,0177;1;-0,0177;0,00031329;;
7,14;1;1,0177;1;-0,0177;0,00031329;;
7,16;1;1,0177;1;-0,0177;0,00031329;;
7,18;1;1,0177;1;-0,0177;0,00031329;;
7,2;1;1,0177;1;-0,0177;0,00031329;;
7,22;1;1,0177;1;-0,0177;0,00031329;;
7,24;1;1,0177;1;-0,0177;0,00031329;;
7,26;1;1,0177;1;-0,0177;0,00031329;;
7,28;1;1,0177;1;-0,0177;0,00031329;;
7,3;1;1,0177;1;-0,0177;0,00031329;;
7,32;1;1,0177;1;-0,0177;0,00031329;;
7,34;1;1,0177;1;-0,0177;0,00031329;;
7,36;1;1,0177;1;-0,0177;0,00031329;;
7,38;1;1,0177;1;-0,0177;0,00031329;;
7,4;1;1,0177;1;-0,0177;0,00031329;;
7,42;1;1,0177;1;-0,0177;0,00031329;;
7,44;1;1,0177;1;-0,0177;0,00031329;;
7,46;1;1,0177;1;-0,0177;0,00031329;;
7,48;1;1,0177;1;-0,0177;0,00031329;;
7,5;1;1,0177;1;-0,0177;0,00031329;;
7,52;1;1,0177;1;-0,0177;0,00031329;;
7,54;1;1,0177;1;-0,0177;0,00031329;;
7,56;1;1,0177;1;-0,0177;0,00031329;;
7,58;1;1,0177;1;-0,0177;0,00031329;;
7,6;1;1,0177;1;-0,0177;0,00031329;;
7,62;1;1,0177;1;-0,0177;0,00031329;;
7,64;1;1,0177;1;-0,0177;0,00031329;;
7,66;1;1,0177;1;-0,0177;0,00031329;;
7,68;1;1,0177;1;-0,0177;0,00031329;;
7,7;1;1,0177;1;-0,0177;0,00031329;;
7,72;1;1,0177;1;-0,0177;0,00031329;;
7,74;1;1,0177;1;-0,0177;0,00031329;;
7,76;1;1,0177;1;-0,0177;0,00031329;;
7,78;1;1,0177;1;-0,0177;0,00031329;;
7,8;1;1,0177;1;-0,0177;0,00031329;;
7,82;1;1,0177;1;-0,0177;0,00031329;;
7,84;1;1,0177;1;-0,0177;0,00031329;;
7,86;1;1,0177;1;-0,0177;0,00031329;;
7,88;1;1,0177;1;-0,0177;0,00031329;;
7,9;1;1,0177;1;-0,0177;0,00031329;;
7,92;1;1,0177;1;-0,0177;0,00031329;;
7,94;1;1,0177;1;-0,0177;0,00031329;;
7,96;1;1,0177;1;-0,0177;0,00031329;;
7,98;1;1,0177;1;-0,0177;0,00031329;;
8;1;1,0177;1;-0,0177;0,00031329;;
8,02;1;1,0177;1;-0,0177;0,00031329;;
8,04;1;1,0177;1;-0,0177;0,00031329;;
8,06;1;1,0177;1;-0,0177;0,00031329;;
