time;RNA;PID;A;A²;;%;
3,42;10,18095502;9,9853;0,19565502;0,038280887;;;
3,44;10,18133223;9,9852;0,19613223;0,038467852;;;
3,46;10,18169555;9,9851;0,19659555;0,03864981;;;
3,48;10,18204497;9,9851;0,19694497;0,038787321;;;
3,5;10,18238048;9,9851;0,19728048;0,038919588;;;
3,52;10,18270208;9,9852;0,19750208;0,039007072;;;
3,54;10,18302373;9,9853;0,19772373;0,039094673;;;
3,56;10,18331747;9,9854;0,19791747;0,039171325;;;
3,58;10,18361126;9,9856;0,19801126;0,039208459;;;
3,6;10,1838911;9,9857;0,1981911;0,039279712;;;
3,62;10,184157;9,986;0,198157;0,039266197;;;
3,64;10,18440894;9,9862;0,19820894;0,039286784;;;
3,66;10,18466092;9,9864;0,19826092;0,039307392;;;
3,68;10,18489893;9,9867;0,19819893;0,039282816;;;
3,7;10,18512297;9,987;0,19812297;0,039252711;;;
3,72;10,18533304;9,9873;0,19803304;0,039217085;;;
3,74;10,18554313;9,9876;0,19794313;0,039181483;;;
3,76;10,18573924;9,988;0,19773924;0,039100807;;;
3,78;10,18593537;9,9883;0,19763537;0,039059739;;;
3,8;10,18611751;9,9887;0,19741751;0,038973673;;;
3,82;10,18628566;9,9891;0,19718566;0,038882185;;;
3,84;10,18645382;9,9895;0,19695382;0,038790807;;;
3,86;10,18660799;9,9899;0,19670799;0,038694033;;;
3,88;10,18676217;9,9903;0,19646217;0,038597384;;;
3,9;10,18690234;9,9907;0,19620234;0,038495358;;;
3,92;10,18702851;9,9911;0,19592851;0,038387981;;;
3,94;10,18715469;9,9915;0,19565469;0,038280758;;;
3,96;10,18726685;9,9919;0,19536685;0,038168206;;;
3,98;10,18739304;9,9924;0,19499304;0,038022286;;;
4;10,1874912;9,9928;0,1946912;0,037904663;;;
4,02;10,18758936;9,9932;0,19438936;0,037787223;;;
4,04;10,18768753;9,9936;0,19408753;0,037669969;;;
4,06;10,18777168;9,9941;0,19367168;0,03750872;;;
4,08;10,18785583;9,9945;0,19335583;0,037386477;;;
4,1;10,18792596;9,9949;0,19302596;0,037259021;;;
4,12;10,18801012;9,9953;0,19271012;0,03713719;;;
4,14;10,18806623;9,9958;0,19226623;0,036966303;;;
4,16;10,18813637;9,9962;0,19193637;0,03683957;;;
4,18;10,18819248;9,9966;0,19159248;0,036707678;;;
4,2;10,18823457;9,997;0,19123457;0,036570661;;;
4,22;10,18829068;9,9974;0,19089068;0,036439252;;;
4,24;10,18833277;9,9978;0,19053277;0,036302736;;;
4,26;10,18837486;9,9982;0,19017486;0,036166477;;;
4,28;10,18841695;9,9986;0,18981695;0,036030475;;;
4,3;10,18844501;9,999;0,18944501;0,035889412;;;
4,32;10,18847307;9,9994;0,18907307;0,035748626;;;
4,34;10,18850114;9,9997;0,18880114;0,03564587;;;
4,36;10,1885292;10;0,1885292;0,035543259;;;
4,38;10,18854323;10;0,18854323;0,03554855;;;
4,4;10,18855726;10,001;0,18755726;0,035177726;;;
4,42;10,18857129;10,001;0,18757129;0,035182989;;;
4,44;10,18858532;10,002;0,18658532;0,034814082;;;
4,46;10,18859936;10,002;0,18659936;0,034819321;;;
4,48;10,18859936;10,002;0,18659936;0,034819321;;;
4,5;10,18861339;10,002;0,18661339;0,034824557;;;
4,52;10,18861339;10,003;0,18561339;0,034452331;;;
4,54;10,18861339;10,003;0,18561339;0,034452331;;;
4,56;10,18861339;10,003;0,18561339;0,034452331;;;
4,58;10,18861339;10,004;0,18461339;0,034082104;;;
4,6;10,18859936;10,004;0,18459936;0,034076924;;;
4,62;10,18859936;10,004;0,18459936;0,034076924;;;
4,64;10,18858532;10,005;0,18358532;0,03370357;;;
4,66;10,18858532;10,005;0,18358532;0,03370357;;;
4,68;10,18857129;10,005;0,18357129;0,033698419;;;
4,7;10,18855726;10,005;0,18355726;0,033693268;;;
4,72;10,18855726;10,006;0,18255726;0,033327153;;;
4,74;10,18854323;10,006;0,18254323;0,033322031;;;
4,76;10,1885292;10,006;0,1825292;0,033316909;;;
4,78;10,18851517;10,006;0,18251517;0,033311787;;;
4,8;10,18848711;10,006;0,18248711;0,033301545;;;
4,82;10,18847307;10,007;0,18147307;0,032932475;;;
4,84;10,18845904;10,007;0,18145904;0,032927383;;;
4,86;10,18844501;10,007;0,18144501;0,032922292;;;
4,88;10,18843098;10,007;0,18143098;0,032917201;;;
4,9;10,18840292;10,007;0,18140292;0,032907019;;;
4,92;10,18838889;10,008;0,18038889;0,032540152;;;
4,94;10,18837486;10,008;0,18037486;0,03253509;;;
4,96;10,1883468;10,008;0,1803468;0,032524968;;;
4,98;10,18833277;10,008;0,18033277;0,032519908;;;
5;10,18830471;10,008;0,18030471;0,032509788;;;
5,02;10,18829068;10,008;0,18029068;0,032504729;;;
5,04;10,18827666;10,008;0,18027666;0,032499674;;;
5,06;10,1882486;10,009;0,1792486;0,032130061;;;
5,08;10,18823457;10,009;0,17923457;0,032125031;;;
5,1;10,18820651;10,009;0,17920651;0,032114973;;;
5,12;10,18819248;10,009;0,17919248;0,032109945;;;
5,14;10,18816443;10,009;0,17916443;0,032099893;;;
5,16;10,1881504;10,009;0,1791504;0,032094866;;;
5,18;10,18812234;10,009;0,17912234;0,032084813;;;
5,2;10,18810831;10,009;0,17910831;0,032079787;;;
5,22;10,18809429;10,009;0,17909429;0,032074765;;;
5,24;10,18806623;10,009;0,17906623;0,032064715;;;
5,26;10,1880522;10,01;0,1780522;0,031702586;;;
5,28;10,18802415;10,01;0,17802415;0,031692598;;;
5,3;10,18801012;10,01;0,17801012;0,031687603;;;
5,32;10,18799609;10,01;0,17799609;0,031682608;;;
5,34;10,18796804;10,01;0,17796804;0,031672623;;;
5,36;10,18795401;10,01;0,17795401;0,03166763;;;
