,time,set point,output,process,set point test,output test,process test
145,72.5,4.0,7.9421146371,3.1097485501,0.0,0.42365454541,0.99182191296
146,73.0,4.0,7.9292624728,3.1411443148,0.0,0.43755166113,0.96193936745
147,73.5,4.0,7.9162637801,3.1718635379,0.0,0.45103121097,0.93287905202
148,74.0,4.0,7.9032548797,3.2018358691,0.0,0.46402876921,0.90468455958
149,74.5,4.0,7.8903543328,3.2310038671,0.0,0.47649163856,0.87738872743
150,75.0,4.0,7.8776644575,3.259321737,0.0,0.48837762798,0.85101484715
151,75.5,4.0,7.8652727535,3.2867541554,0.0,0.49965392726,0.82557777382
152,76.0,4.0,7.8532532402,3.3132751776,0.0,0.51029607211,0.8010849409
153,76.5,4.0,7.8416677079,3.3388672257,0.0,0.52028699448,0.7775372871
154,77.0,4.0,7.8305668875,3.3635201514,0.0,0.52961615254,0.75493010109
155,77.5,4.0,7.8199915409,3.3872303712,0.0,0.53827873523,0.73325378967
156,78.0,4.0,7.8099734754,3.4100000695,0.0,0.54627493634,0.71249457493
157,78.5,4.0,7.8005364854,3.4318364671,0.0,0.55360929353,0.69263512525
158,79.0,4.0,7.7916972248,3.4527511496,0.0,0.56029008765,0.67365512518
159,79.5,4.0,7.7834660137,3.4727594542,0.0,0.56632879824,0.65553178863
160,80.0,0.0,0.51818288764,3.476170679,0.0,0.57173961099,0.63824031984
161,80.5,0.0,0.3949401686,3.4649306112,0.0,0.5765389735,0.62175432594
162,81.0,0.0,0.29256724484,3.4408325136,0.0,0.58074519558,0.6060461852
163,81.5,0.0,0.20893446091,3.4055252201,0.0,0.5843780907,0.59108737444
164,82.0,0.0,0.14206693037,3.3605211056,0.0,0.58745865542,0.57684875886
165,82.5,0.0,0.090137206968,3.307203896,0.0,0.59000878367,0.56330084768
166,83.0,0.0,0.051457967846,3.2468362908,0.0,0.5920510132,0.55041401834
167,83.5,0.0,0.02447475273,3.1805673731,0.0,0.5936083013,0.53815871212
168,84.0,0.0,0.0077587968183,3.1094397909,0.0,0.59470382752,0.52650560372
169,84.5,0.0,0.0,3.0343966902,0.0,0.5953608209,0.51542574712
170,85.0,0.0,0.0,2.9562883923,0.0,0.59560240965,0.5048907001
171,85.5,0.0,0.0066655126772,2.8758788026,0.0,0.59545149114,0.49487262928
172,86.0,0.0,0.019001818653,2.7938515479,0.0,0.59493062045,0.48534439775
173,86.5,0.0,0.036106411827,2.7108158367,0.0,0.59406191557,0.47627963695
174,87.0,0.0,0.057162962047,2.627312042,0.0,0.59286697781,0.46765280445
175,87.5,0.0,0.081435461284,2.5438170062,0.0,0.59136682575,0.45943922916
176,88.0,0.0,0.10826262004,2.4607490718,0.0,0.58958184148,0.45161514532
177,88.5,0.0,0.13705250834,2.3784728393,0.0,0.58753172774,0.44415771653
178,89.0,0.0,0.16727744369,2.2973036591,0.0,0.58523547488,0.43704505101
179,89.5,0.0,0.19846912643,2.2175118621,0.0,0.58271133648,0.43025620907
180,90.0,0.0,0.2302140214,2.1393267354,0.0,0.57997681269,0.42377120392
181,90.5,0.0,0.26214898352,2.0629402523,0.0,0.57704864039,0.4175709965
182,91.0,0.0,0.29395712345,1.9885105627,0.0,0.57394278919,0.4116374853
183,91.5,0.0,0.32536390883,1.9161652531,0.0,0.5706744628,0.40595349183
184,92.0,0.0,0.35613349525,1.8460043854,0.0,0.56725810479,0.40050274233
185,92.5,0.0,0.38606528105,1.7781033236,0.0,0.56370740825,0.39526984649
186,93.0,0.0,0.41499067866,1.7125153567,0.0,0.56003532881,0.39024027355
