,time,set point,output,process,set point test,output test,process test
188,"3,76",2,"20,018","2,0005",3,"31,096","3,2778"
189,"3,78",2,"20,018","2,0005",3,"30,718","3,2808"
190,"3,8",2,"20,017","2,0005",3,"30,38","3,2815"
191,"3,82",2,"20,017","2,0005",3,"30,079","3,2803"
192,"3,84",2,"20,017","2,0005",3,"29,815","3,2772"
193,"3,86",2,"20,017","2,0004",3,"29,584","3,2725"
194,"3,88",2,"20,017","2,0004",3,"29,384","3,2666"
195,"3,9",2,"20,016","2,0004",3,"29,213","3,2595"
196,"3,92",2,"20,016","2,0004",3,"29,068","3,2514"
197,"3,94",2,"20,016","2,0004",3,"28,949","3,2425"
198,"3,96",2,"20,016","2,0003",3,"28,852","3,233"
199,"3,98",2,"20,016","2,0003",3,"28,776","3,223"
200,4,2,"20,017","2,0003",3,"28,719","3,2126"
201,"4,02",2,"20,017","2,0003",3,"28,679","3,202"
202,"4,04",2,"20,017","2,0002",3,"28,654","3,1913"
203,"4,06",2,"20,017","2,0002",3,"28,643","3,1804"
204,"4,08",2,"20,017","2,0002",3,"28,643","3,1697"
205,"4,1",2,"20,017","2,0002",3,"28,655","3,159"
206,"4,12",2,"20,017","2,0002",3,"28,675","3,1485"
207,"4,14",2,"20,017","2,0001",3,"28,704","3,1383"
208,"4,16",2,"20,018","2,0001",3,"28,739","3,1283"
209,"4,18",2,"20,018","2,0001",3,"28,78","3,1186"
210,"4,2",2,"20,018","2,0001",3,"28,825","3,1093"
211,"4,22",2,"20,018","2,0001",3,"28,874","3,1004"
212,"4,24",2,"20,018","2,0001",3,"28,927","3,0918"
213,"4,26",2,"20,018","2,0001",3,"28,981","3,0837"
214,"4,28",2,"20,018",2,3,"29,037","3,0759"
215,"4,3",2,"20,019",2,3,"29,093","3,0686"
216,"4,32",2,"20,019",2,3,"29,15","3,0617"
217,"4,34",2,"20,019",2,3,"29,207","3,0553"
218,"4,36",2,"20,019",2,3,"29,263","3,0493"
219,"4,37999999999999",2,"20,019",2,3,"29,318","3,0436"
220,"4,39999999999999",2,"20,019",2,3,"29,372","3,0384"
221,"4,41999999999999",2,"20,019",2,3,"29,424","3,0336"
222,"4,43999999999999",2,"20,019",2,3,"29,475","3,0291"
223,"4,45999999999999",2,"20,019",2,3,"29,524","3,0251"
224,"4,47999999999999",2,"20,02",2,3,"29,57","3,0213"
225,"4,49999999999999",2,"20,02",2,3,"29,615","3,0179"
226,"4,51999999999999",2,"20,02",2,3,"29,657","3,0148"
227,"4,53999999999999",2,"20,02",2,3,"29,697","3,0121"
228,"4,55999999999999",2,"20,02",2,3,"29,734","3,0096"
229,"4,57999999999999",2,"20,02",2,3,"29,769","3,0073"
