time,set point,output
26.0,5.0,11.264292532
26.200000000000003,5.0,11.266151995
26.400000000000002,5.0,11.261128698
26.6,5.0,11.249728008
26.8,5.0,11.232453959
27.0,5.0,11.209806674
27.200000000000003,5.0,11.182279989
27.400000000000002,5.0,11.150359279
27.6,5.0,11.114519474
27.8,5.0,11.075223271
28.0,5.0,11.032919532
28.200000000000003,5.0,10.988041873
28.400000000000002,5.0,10.941007423
28.6,5.0,10.89221576
28.8,5.0,10.842048018
29.0,5.0,10.790866147
29.200000000000003,5.0,10.739012329
29.400000000000002,5.0,10.68680854
29.6,5.0,10.634556246
29.8,5.0,10.582536232
30.0,5.0,10.531008551
30.200000000000003,5.0,10.480212588
30.400000000000002,5.0,10.430367223
30.6,5.0,10.3816711
30.8,5.0,10.33430298
31.0,5.0,10.288422169
31.200000000000003,5.0,10.244169034
31.400000000000002,5.0,10.201665566
31.6,5.0,10.161016015
31.8,5.0,10.122307567
32.0,5.0,10.08561107
32.2,5.0,10.050981789
32.4,5.0,10.018460196
32.6,5.0,9.9880727858
32.800000000000004,5.0,9.9598329019
33.0,5.0,9.933741581
33.2,5.0,9.9097884012
33.4,5.0,9.8879523324
33.6,5.0,9.8682025843
33.800000000000004,5.0,9.8504994469
34.0,5.0,9.8347951196
34.2,5.0,9.8210345263
34.4,5.0,9.809156112
34.6,5.0,9.7990926181
34.800000000000004,5.0,9.790771835
35.0,5.0,9.7841173278
35.2,5.0,9.7790491345
35.4,5.0,9.7754844341
35.6,5.0,9.7733381838
35.800000000000004,5.0,9.7725237237
36.0,5.0,9.7729533475
36.2,5.0,9.7745388402
36.4,5.0,9.7771919801
36.6,5.0,9.7808250069
36.800000000000004,5.0,9.7853510541
37.0,5.0,9.7906845471
37.2,5.0,9.796741567
37.4,5.0,9.8034401798
37.6,5.0,9.8107007328
37.800000000000004,5.0,9.818446118
38.0,5.0,9.8266020039
38.2,5.0,9.8350970367
38.400000000000006,5.0,9.8438630113
38.6,5.0,9.8528350141
38.800000000000004,5.0,9.8619515385
39.0,5.0,9.8711545741
39.2,5.0,9.8803896715
39.400000000000006,5.0,9.8896059833
39.6,5.0,9.8987562839
39.800000000000004,5.0,9.9077969679
40.0,5.0,9.9166880303
